ID,price,lotsize,bedrooms,bathrms,stories,garagepl,recroom,fullbase,airco
1,42000,5850,3,1,2,1,no,yes,no
2,38500,4000,2,1,1,0,no,no,no
3,49500,3060,3,1,1,0,no,no,no
4,60500,6650,3,1,2,0,yes,no,no
5,61000,6360,2,1,1,0,no,no,no
6,66000,4160,3,1,1,0,yes,yes,yes
7,66000,3880,3,2,2,2,no,yes,no
8,69000,4160,3,1,3,0,no,no,no
9,83800,4800,3,1,1,0,yes,yes,no
10,88500,5500,3,2,4,1,yes,no,yes
11,90000,7200,3,2,1,3,no,yes,yes
12,30500,3000,2,1,1,0,no,no,no
13,27000,1700,3,1,2,0,no,no,no
14,36000,2880,3,1,1,0,no,no,no
15,37000,3600,2,1,1,0,no,no,no
16,37900,3185,2,1,1,0,no,no,yes
17,40500,3300,3,1,2,1,no,no,no
18,40750,5200,4,1,3,0,no,no,no
19,45000,3450,1,1,1,0,no,no,no
20,45000,3986,2,2,1,1,yes,yes,no
21,48500,4785,3,1,2,1,yes,yes,yes
22,65900,4510,4,2,2,0,no,yes,no
23,37900,4000,3,1,2,0,no,no,yes
24,38000,3934,2,1,1,0,no,no,no
25,42000,4960,2,1,1,0,no,no,no
26,42300,3000,2,1,2,0,no,no,no
27,43500,3800,2,1,1,0,no,no,no
28,44000,4960,2,1,1,0,no,yes,yes
29,44500,3000,3,1,1,0,no,no,yes
30,44900,4500,3,1,2,0,no,no,yes
31,45000,3500,2,1,1,0,no,yes,no
32,48000,3500,4,1,2,2,no,no,yes
33,49000,4000,2,1,1,0,no,no,no
34,51500,4500,2,1,1,0,no,no,no
35,61000,6360,2,1,2,0,no,no,no
36,61000,4500,2,1,1,2,no,no,yes
37,61700,4032,2,1,1,0,no,yes,no
38,67000,5170,3,1,4,0,no,no,yes
39,82000,5400,4,2,2,2,no,no,yes
40,54500,3150,2,2,1,0,no,yes,no
41,66500,3745,3,1,2,0,no,yes,no
42,70000,4520,3,1,2,0,no,yes,yes
